year,sentence
2010,"Not content with rooting out fraud in the banking sector, the Securities and Exchange Commission has begun an investigation into companies that do business in the countries designated by the U.S. State Department as sponsors of terrorism, The Wall Street Journal reported. The S.E.C. vs. the Axis of Evil"
1975,"A small group of experts dominated the proceedings in the Knickerbocker sectional tournament of the Greater New York Bridge Association, which ended Sunday at the New York Hilton Hotel. Bridge:"
1984,"  SECRETARY of Education T. H. Bell considers his ''greatest disappointment'' the public schools' failure to improve the teaching of foreign languages.    His comments at a recent briefing of education columnists on the state of education seemed to reflect the Reagan Administration's current re- examination of its earlier policies. Some critics have attacked those policies as having starved the universities' foreign language and international studies and research as well as foreign exchange programs.   As an example of the Administration's apparent change of heart, it recently asked for a $20.3 million increase for Fulbright fellowships and other programs involving the exchange of students and scholars between the United States and other countries. In addition, the Administration asked for $24.6 million to let undergraduates from Central America study on American campuses. CHANGE OF HEART IS NEEDED ON FOREIGN STUDIES"
2004,Shawnee High School (NJ) pole vaulter Danielle O'Reilly holds national indoor record; photo (M) High School Girls Catch Pole-Vault Wave
2011,"Sold in glittery boxes decorated with hearts, stars and swirls (which are also printed on the pads themselves), the products would look at home on the set of “Hannah Montana.” A Younger Group for Feminine Products"
1975,"Q: I recently removed an aluminum and glass shower door from our bathtub in our apartment. Can you tell me what can be used to remove putty and rust stains that have adhered to the porcelain bathtub and tiles? &#8212;L.N.H., New York City. Home Clinic"
2003,"Bernard Holland reviews Alan Feinberg piano recital at Cooper Union (M) Wild Mood Swings and Charm, In Not Quite Elizabethan Style"
2000,"Elizabeth Weitzman profile of three movie actors who have worked a lot in supporting roles in recent years; they are Stephen Tobolowsky, Maury Chaykin and Christopher McDonald; photo (M) The Nominees for Hardest-Working Actor Are . . ."
1992,  A Federal appeals court dealt a major blow to the Hollywood studios today in their effort to keep the big television networks out of the $5 billion business of selling reruns of popular programs.   The unanimous decision by a three-judge panel rejected a rule adopted by a sharply divided Federal Communications Commission in 1991 that restricted the networks from owning and selling the rerun rights to their prime time programs. Ruling by Court Backs Networks On Rerun Issue
1964,"Mrs French, delayed by traffic jam for apptmt, breaks it up by unorthodox means T.raffic Jam and Garbage Cans No Match for Irate Campaigner"
1982,"  A 24-year-old purse snatcher was stabbed to death in the University Heights section of the Bronx last night when he was caught by a group of people who had been chasing him, the police said.   The purse snatcher, identified by the police as Ricky Grant, of 990 Anderson Avenue in the High Bridge section of Bronx, grabbed a woman's purse at 2234 Davidson Avenue near Buchanan Place at 9:30 P.M., a police spokesman said. Purse Snatcher Chased and Slain"
1976,"Reagan charges Pres Ford and his supporters are evading crucial issues, Greensboro, NC, news conf; complains of 'dirty tricks' by Ford camp, attributing to it the repts that his orgn is disintegrating and that his wife Nancy is taking charge; has been told that some state employees who support him have been dismissed; declines to predict victory in NC primary (M) Readan Declares Ford Is Evading Key Issues"
1976,"Healy, George Peter Alexander (1813-94): Louisiana State Museum mounts show of work by George Peter Alexander Healy (S) New Williams Drama Scheduled for April"
1965,Johnson Internatl Pub Corp pres Hyde chides US mfrs for not preparing coherent export plans U.S. CONCERNS CHIDED ON EXPORT PROGRAM
1992,"  This is like a war room, because managing traffic and transportation for this convention is going to be a war. PAUL KLEPPER, head of transportation control for the Republicans in Houston.  [ 1:4. ] No Headline"
1984,"   A letter from Ludwig van Beethoven to a woman believed to have been his mysterious ''Immortal Beloved'' will be sold at auction in London in May, Sotheby's announced today.   A spokesman for Sotheby's also said a portrait of the composer will be up for sale at the auction. BEETHOVEN LETTER TO BE SOLD"
1970,"J M Sweeney, who declared in Stockholm news conf on Aug 25 that he had joined Vietcong after being left to die in jungle by co comdr, charged, Quantico, Va, with desertion, abandoning arms and aiding enemy Marines Accuse a Sergeant of Desertion"
1971,Sen Javits offers bill to set up ombudsman in Cong to help make Govt more responsive to needs of poor and citizens generally Ombudsman Office Sought
2002,Abitibi-Consolidated Inc to spin off pulp mill to raise as much as $259 million (S) World Business Briefing | Americas: Canada: Pulp Mill Spinoff
1965, Patterson -- Faison
1965,"US, GB and France reptdly agree to counter E Ger infringements of W Berlin status Western Allied Agreement On Berlin Action Reported"
1999," June 26, 1999, Coney Island, Brooklyn    Nicholas Thomas, left ''It was me, my mother and my stepfather in his living room. After like eight or nine years of being together, they had just gotten married. The day was good. My mother was happy. My stepfather was talking about putting me in charge of the house because they were getting ready to leave for Hawaii. I was just thinking about them leaving and having the house to myself. I was gonna throw a party. It feels strange being at a wedding. It was long, real long. I was thinking, I ain't getting married -- it's too much. You've got to organize everything. I just don't want that. I don't want to stay with one person for the rest of my life. I will probably change my mind, though. I'll probably fall in love.''    Adele Lucas  ''I was thinking about all my older sister and my mother did for the wedding. They made all the knickknacks and the cake -- everything. I wanted it all to be unforgettable. I told my kids it would shine that day. It was beautiful. They had to say I was right. I was glad it was over. I was calm. I was thinking, Now I have a new husband and I finally got it right. And I was getting ready to go on my honeymoon to Hawaii. I stayed in the dress while we waited for the limo man. Nicholas was playing around, saying, 'I am coming with you, Mom.' He's a kidder. Jeffrey was like, 'Nicholas, me and your mom are going all alone.'''    Jeffrey Lucas  'The day was so crazy. I am so ashamed to say that I was late to my own wedding. But it worked out fine because everybody was happy. Then we were getting ready to leave for our honeymoon. We were really pressed for time. Adele couldn't even get out of her gown because she was still packing, and I was driving her crazy -- 'Come on, we've got a plane.' I am one of those people who wants everything to be right before they go on a trip. I was just so hyped. My son, Nicholas, was trying to help us get it all together. I was thinking about how Hawaii would be. And I was thinking, Did I really do this?''   Interviews by Catherine Saint Louis   The Way We Live Now: 10-10-99; What They Were Thinking"
